gID	Description	MMETSP_ID	KeggID	Kegg Definition	Module Definition	Submodule1
Skcos4364	CAMNT_0000285123	MMETSP0013_2-20120614|15931 	K01893	NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]	Aminoacyl-tRNA biosynthesis, prokaryotes [PATH:map00970]	Aminoacyl tRNA
Skcos4364	CAMNT_0000285123	MMETSP0013_2-20120614|15931 	K01893	NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]	Aminoacyl-tRNA biosynthesis, eukaryotes [PATH:map00970]	Aminoacyl tRNA
Skcos13021	CAMNT_0000254043	MMETSP0013_2-20120614|391 	K01893	NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]	Aminoacyl-tRNA biosynthesis, prokaryotes [PATH:map00970]	Aminoacyl tRNA
Skcos13021	CAMNT_0000254043	MMETSP0013_2-20120614|391 	K01893	NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]	Aminoacyl-tRNA biosynthesis, eukaryotes [PATH:map00970]	Aminoacyl tRNA
Throt4865	Locus4039v1rpkm25.20		K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	Other carbohydrate metabolism
Throt4865	Locus4039v1rpkm25.20		K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Nucleotide sugar biosynthesis, prokaryotes [PATH:map00520]	Nucleotide sugar
Throt4865	Locus4039v1rpkm25.20		K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Nucleotide sugar biosynthesis, eukaryotes [PATH:map00520]	Nucleotide sugar
Throt9673	Locus7857v1rpkm13.15		K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	Other carbohydrate metabolism
Throt9673	Locus7857v1rpkm13.15		K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Nucleotide sugar biosynthesis, prokaryotes [PATH:map00520]	Nucleotide sugar
Throt9673	Locus7857v1rpkm13.15		K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Nucleotide sugar biosynthesis, eukaryotes [PATH:map00520]	Nucleotide sugar
Skcos4768	CAMNT_0000283969	MMETSP0013_2-20120614|15354 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	Other carbohydrate metabolism
Skcos4768	CAMNT_0000283969	MMETSP0013_2-20120614|15354 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Nucleotide sugar biosynthesis, prokaryotes [PATH:map00520]	Nucleotide sugar
Skcos4768	CAMNT_0000283969	MMETSP0013_2-20120614|15354 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Nucleotide sugar biosynthesis, eukaryotes [PATH:map00520]	Nucleotide sugar
Skcos9602	CAMNT_0000266657	MMETSP0013_2-20120614|6698 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	Other carbohydrate metabolism
Skcos9602	CAMNT_0000266657	MMETSP0013_2-20120614|6698 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Nucleotide sugar biosynthesis, prokaryotes [PATH:map00520]	Nucleotide sugar
Skcos9602	CAMNT_0000266657	MMETSP0013_2-20120614|6698 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Nucleotide sugar biosynthesis, eukaryotes [PATH:map00520]	Nucleotide sugar
Skcos15147	CAMNT_0000290321	MMETSP0013_2-20120614|18530 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	Other carbohydrate metabolism
Skcos15147	CAMNT_0000290321	MMETSP0013_2-20120614|18530 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Nucleotide sugar biosynthesis, prokaryotes [PATH:map00520]	Nucleotide sugar
Skcos15147	CAMNT_0000290321	MMETSP0013_2-20120614|18530 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Nucleotide sugar biosynthesis, eukaryotes [PATH:map00520]	Nucleotide sugar
Skcos18625	CAMNT_0000322319	MMETSP0013_2-20120614|34529 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	Other carbohydrate metabolism
Skcos18625	CAMNT_0000322319	MMETSP0013_2-20120614|34529 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Nucleotide sugar biosynthesis, prokaryotes [PATH:map00520]	Nucleotide sugar
Skcos18625	CAMNT_0000322319	MMETSP0013_2-20120614|34529 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Nucleotide sugar biosynthesis, eukaryotes [PATH:map00520]	Nucleotide sugar
Skcos27088	CAMNT_0000306079	MMETSP0013_2-20120614|26409 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	Other carbohydrate metabolism
Skcos27088	CAMNT_0000306079	MMETSP0013_2-20120614|26409 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Nucleotide sugar biosynthesis, prokaryotes [PATH:map00520]	Nucleotide sugar
Skcos27088	CAMNT_0000306079	MMETSP0013_2-20120614|26409 	K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Nucleotide sugar biosynthesis, eukaryotes [PATH:map00520]	Nucleotide sugar
Throt4867	Locus4040v1rpkm25.19		K06063	SNW1, SKIIP, SKIP; SNW domain-containing protein 1	Spliceosome, 35S U5-snRNP [PATH:map03040] [BR:ko03041]	Spliceosome
Skcos3195	CAMNT_0000273797	MMETSP0013_2-20120614|10268 	K06063	SNW1, SKIIP, SKIP; SNW domain-containing protein 1	Spliceosome, 35S U5-snRNP [PATH:map03040] [BR:ko03041]	Spliceosome
Throt4879	Locus4052v1rpkm25.10		K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map01200 map00010 map00020 map00620]	Central carbohydrate metabolism
Skcos5972	CAMNT_0000276163	MMETSP0013_2-20120614|11451 	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map01200 map00010 map00020 map00620]	Central carbohydrate metabolism
Throt4886	Locus4059v1rpkm25.07		K03033	PSMD3, RPN3; 26S proteasome regulatory subunit N3	Proteasome, 19S regulatory particle (PA700) [PATH:map03050] [BR:ko03051]	Proteasome
Skcos25781	CAMNT_0000303601	MMETSP0013_2-20120614|25170 	K03033	PSMD3, RPN3; 26S proteasome regulatory subunit N3	Proteasome, 19S regulatory particle (PA700) [PATH:map03050] [BR:ko03051]	Proteasome
Throt4897	Locus4069v1rpkm25.01		K12196	VPS4; vacuolar protein-sorting-associated protein 4	ESCRT-III complex [PATH:map04144]	Protein processing
Skcos158	CAMNT_0000283347	MMETSP0013_2-20120614|15043 	K12196	VPS4; vacuolar protein-sorting-associated protein 4	ESCRT-III complex [PATH:map04144]	Protein processing
Throt4900	Locus4072v1rpkm25.01		K11092	SNRPA1; U2 small nuclear ribonucleoprotein A'	Spliceosome, U2-snRNP [PATH:map03040] [BR:ko03041]	Spliceosome
Skcos5876	CAMNT_0000271973	MMETSP0013_2-20120614|9356 	K11092	SNRPA1; U2 small nuclear ribonucleoprotein A'	Spliceosome, U2-snRNP [PATH:map03040] [BR:ko03041]	Spliceosome
Throt4905	Locus4076v1rpkm24.99		K02885	RP-L19e, RPL19; large subunit ribosomal protein L19e	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Throt4905	Locus4076v1rpkm24.99		K02885	RP-L19e, RPL19; large subunit ribosomal protein L19e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Throt11202	Locus9019v1rpkm11.29		K02885	RP-L19e, RPL19; large subunit ribosomal protein L19e	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Throt11202	Locus9019v1rpkm11.29		K02885	RP-L19e, RPL19; large subunit ribosomal protein L19e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Skcos5920	CAMNT_0000273413	MMETSP0013_2-20120614|10076 	K02885	RP-L19e, RPL19; large subunit ribosomal protein L19e	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Skcos5920	CAMNT_0000273413	MMETSP0013_2-20120614|10076 	K02885	RP-L19e, RPL19; large subunit ribosomal protein L19e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Throt4936	Locus4099v1rpkm24.84		K12831	SF3B4, SAP49; splicing factor 3B subunit 4	Spliceosome, U2-snRNP [PATH:map03040] [BR:ko03041]	Spliceosome
Skcos10542	CAMNT_0000253723	MMETSP0013_2-20120614|231 	K12831	SF3B4, SAP49; splicing factor 3B subunit 4	Spliceosome, U2-snRNP [PATH:map03040] [BR:ko03041]	Spliceosome
Throt4946	Locus4109v1rpkm24.76		K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	Triacylglycerol biosynthesis [PATH:map00561]	Lipid metabolism
Throt14836	Locus11756v1rpkm8.22		K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	Triacylglycerol biosynthesis [PATH:map00561]	Lipid metabolism
Throt17189	Locus13534v1rpkm6.63		K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	Triacylglycerol biosynthesis [PATH:map00561]	Lipid metabolism
Skcos890	CAMNT_0000276211	MMETSP0013_2-20120614|11475 	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	Triacylglycerol biosynthesis [PATH:map00561]	Lipid metabolism
Skcos1771	CAMNT_0000272303	MMETSP0013_2-20120614|9521 	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	Triacylglycerol biosynthesis [PATH:map00561]	Lipid metabolism
Skcos4963	CAMNT_0000271319	MMETSP0013_2-20120614|9029 	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	Triacylglycerol biosynthesis [PATH:map00561]	Lipid metabolism
Skcos8608	CAMNT_0000260339	MMETSP0013_2-20120614|3539 	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	Triacylglycerol biosynthesis [PATH:map00561]	Lipid metabolism
Throt4963	Locus4121v1rpkm24.69		K00611	OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]	Urea cycle [PATH:map01230 map00330]	Arginine and proline metabolism
Skcos11134	CAMNT_0000261677	MMETSP0013_2-20120614|4208 	K00611	OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]	Urea cycle [PATH:map01230 map00330]	Arginine and proline metabolism
Skcos17421	CAMNT_0000295299	MMETSP0013_2-20120614|21019 	K00611	OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]	Urea cycle [PATH:map01230 map00330]	Arginine and proline metabolism
Throt4967	Locus4125v1rpkm24.68		K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Throt4968	Locus4125v2rpkm18.51		K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Throt9222	Locus7521v1rpkm13.76		K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Throt9995	Locus8108v1rpkm12.73		K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Throt11797	Locus9443v1rpkm10.72		K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Throt13202	Locus10518v1rpkm9.44		K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Skcos1691	CAMNT_0000269129	MMETSP0013_2-20120614|7934 	K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Skcos5727	CAMNT_0000286269	MMETSP0013_2-20120614|16504 	K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Skcos7718	CAMNT_0000260091	MMETSP0013_2-20120614|3415 	K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Skcos7854	CAMNT_0000264275	MMETSP0013_2-20120614|5507 	K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Skcos8123	CAMNT_0000259347	MMETSP0013_2-20120614|3043 	K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Skcos19509	CAMNT_0000325549	MMETSP0013_2-20120614|36144 	K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Skcos22127	CAMNT_0000310867	MMETSP0013_2-20120614|28803 	K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Skcos26710	CAMNT_0000308441	MMETSP0013_2-20120614|27590 	K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Throt4990	Locus4144v2rpkm3.28		K15553	ssuA; sulfonate transport system substrate-binding protein	Sulfonate transport system [PATH:map02010] [BR:ko02000]	Mineral and organic ion transport system
Throt5015	Locus4161v1rpkm24.48		K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	Malonate semialdehyde pathway, propanoyl-CoA => Acetyl-CoA [PATH:map01200 map00640]	Other carbohydrate metabolism
Skcos13141	CAMNT_0000257705	MMETSP0013_2-20120614|2222 	K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	Malonate semialdehyde pathway, propanoyl-CoA => Acetyl-CoA [PATH:map01200 map00640]	Other carbohydrate metabolism
Throt5057	Locus4196v1rpkm24.27		K03039	PSMD13, RPN9; 26S proteasome regulatory subunit N9	Proteasome, 19S regulatory particle (PA700) [PATH:map03050] [BR:ko03051]	Proteasome
Skcos5854	CAMNT_0000270293	MMETSP0013_2-20120614|8516 	K03039	PSMD13, RPN9; 26S proteasome regulatory subunit N9	Proteasome, 19S regulatory particle (PA700) [PATH:map03050] [BR:ko03051]	Proteasome
Throt5072	Locus4207v1rpkm24.21		K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	Methionine biosynthesis, apartate => homoserine => methionine [PATH:map01230 map00270]	Cysteine and methionine metabolism
Throt5073	Locus4207v2rpkm12.81		K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	Methionine biosynthesis, apartate => homoserine => methionine [PATH:map01230 map00270]	Cysteine and methionine metabolism
Skcos17494	CAMNT_0000299519	MMETSP0013_2-20120614|23129 	K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	Methionine biosynthesis, apartate => homoserine => methionine [PATH:map01230 map00270]	Cysteine and methionine metabolism
Throt5080	Locus4214v1rpkm24.19		K03020	RPC19, POLR1D; DNA-directed RNA polymerases I and III subunit RPAC2	RNA polymerase III, eukaryotes [PATH:map03020 map04623] [BR:ko03021]	RNA polymerase
Throt5080	Locus4214v1rpkm24.19		K03020	RPC19, POLR1D; DNA-directed RNA polymerases I and III subunit RPAC2	RNA polymerase I, eukaryotes [PATH:map03020] [BR:ko03021]	RNA polymerase
Skcos21549	CAMNT_0000303639	MMETSP0013_2-20120614|25189 	K03020	RPC19, POLR1D; DNA-directed RNA polymerases I and III subunit RPAC2	RNA polymerase III, eukaryotes [PATH:map03020 map04623] [BR:ko03021]	RNA polymerase
Skcos21549	CAMNT_0000303639	MMETSP0013_2-20120614|25189 	K03020	RPC19, POLR1D; DNA-directed RNA polymerases I and III subunit RPAC2	RNA polymerase I, eukaryotes [PATH:map03020] [BR:ko03021]	RNA polymerase
Throt5103	Locus4231v1rpkm24.11		K00797	speE, SRM; spermidine synthase [EC:2.5.1.16]	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism
Throt5103	Locus4231v1rpkm24.11		K00797	speE, SRM; spermidine synthase [EC:2.5.1.16]	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine [PATH:map00330]	Polyamine biosynthesis
Throt5151	Locus4271v1rpkm23.91		K00797	speE, SRM; spermidine synthase [EC:2.5.1.16]	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism
Throt5151	Locus4271v1rpkm23.91		K00797	speE, SRM; spermidine synthase [EC:2.5.1.16]	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine [PATH:map00330]	Polyamine biosynthesis
Skcos67	CAMNT_0000281115	MMETSP0013_2-20120614|13927 	K00797	speE, SRM; spermidine synthase [EC:2.5.1.16]	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism
Skcos67	CAMNT_0000281115	MMETSP0013_2-20120614|13927 	K00797	speE, SRM; spermidine synthase [EC:2.5.1.16]	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine [PATH:map00330]	Polyamine biosynthesis
Skcos2199	CAMNT_0000269809	MMETSP0013_2-20120614|8274 	K00797	speE, SRM; spermidine synthase [EC:2.5.1.16]	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism
Skcos2199	CAMNT_0000269809	MMETSP0013_2-20120614|8274 	K00797	speE, SRM; spermidine synthase [EC:2.5.1.16]	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine [PATH:map00330]	Polyamine biosynthesis
Throt5123	Locus4250v1rpkm24.01		K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	Aminoacyl-tRNA biosynthesis, prokaryotes [PATH:map00970]	Aminoacyl tRNA
Throt5123	Locus4250v1rpkm24.01		K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	Aminoacyl-tRNA biosynthesis, eukaryotes [PATH:map00970]	Aminoacyl tRNA
Throt5124	Locus4250v2rpkm10.25		K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	Aminoacyl-tRNA biosynthesis, prokaryotes [PATH:map00970]	Aminoacyl tRNA
Throt5124	Locus4250v2rpkm10.25		K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	Aminoacyl-tRNA biosynthesis, eukaryotes [PATH:map00970]	Aminoacyl tRNA
Throt13911	Locus11065v1rpkm8.87		K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	Aminoacyl-tRNA biosynthesis, prokaryotes [PATH:map00970]	Aminoacyl tRNA
Throt13911	Locus11065v1rpkm8.87		K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	Aminoacyl-tRNA biosynthesis, eukaryotes [PATH:map00970]	Aminoacyl tRNA
Skcos4135	CAMNT_0000276067	MMETSP0013_2-20120614|11403 	K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	Aminoacyl-tRNA biosynthesis, prokaryotes [PATH:map00970]	Aminoacyl tRNA
Skcos4135	CAMNT_0000276067	MMETSP0013_2-20120614|11403 	K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	Aminoacyl-tRNA biosynthesis, eukaryotes [PATH:map00970]	Aminoacyl tRNA
Skcos6369	CAMNT_0000274133	MMETSP0013_2-20120614|10436 	K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	Aminoacyl-tRNA biosynthesis, prokaryotes [PATH:map00970]	Aminoacyl tRNA
Skcos6369	CAMNT_0000274133	MMETSP0013_2-20120614|10436 	K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	Aminoacyl-tRNA biosynthesis, eukaryotes [PATH:map00970]	Aminoacyl tRNA
Throt5166	Locus4282v1rpkm23.85		K02996	RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9	Ribosome, bacteria [PATH:map03010] [BR:ko03011]	Ribosome
Throt5166	Locus4282v1rpkm23.85		K02996	RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Skcos426	CAMNT_0000275865	MMETSP0013_2-20120614|11302 	K02996	RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9	Ribosome, bacteria [PATH:map03010] [BR:ko03011]	Ribosome
Skcos426	CAMNT_0000275865	MMETSP0013_2-20120614|11302 	K02996	RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Skcos3602	CAMNT_0000272683	MMETSP0013_2-20120614|9711 	K02996	RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9	Ribosome, bacteria [PATH:map03010] [BR:ko03011]	Ribosome
Skcos3602	CAMNT_0000272683	MMETSP0013_2-20120614|9711 	K02996	RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Throt5191	Locus4305v1rpkm23.77		K00972	UAP1; UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23]	Nucleotide sugar biosynthesis, prokaryotes [PATH:map00520]	Nucleotide sugar
Throt5191	Locus4305v1rpkm23.77		K00972	UAP1; UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23]	Nucleotide sugar biosynthesis, eukaryotes [PATH:map00520]	Nucleotide sugar
Skcos2652	CAMNT_0000268627	MMETSP0013_2-20120614|7683 	K00972	UAP1; UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23]	Nucleotide sugar biosynthesis, prokaryotes [PATH:map00520]	Nucleotide sugar
Skcos2652	CAMNT_0000268627	MMETSP0013_2-20120614|7683 	K00972	UAP1; UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23]	Nucleotide sugar biosynthesis, eukaryotes [PATH:map00520]	Nucleotide sugar
Skcos5797	CAMNT_0000281673	MMETSP0013_2-20120614|14206 	K00972	UAP1; UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23]	Nucleotide sugar biosynthesis, prokaryotes [PATH:map00520]	Nucleotide sugar
Skcos5797	CAMNT_0000281673	MMETSP0013_2-20120614|14206 	K00972	UAP1; UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23]	Nucleotide sugar biosynthesis, eukaryotes [PATH:map00520]	Nucleotide sugar
Throt5199	Locus4311v1rpkm23.74		K02967	RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2	Ribosome, bacteria [PATH:map03010] [BR:ko03011]	Ribosome
Throt5199	Locus4311v1rpkm23.74		K02967	RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Throt6739	Locus5556v1rpkm18.76		K02967	RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2	Ribosome, bacteria [PATH:map03010] [BR:ko03011]	Ribosome
Throt6739	Locus5556v1rpkm18.76		K02967	RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Throt5208	Locus4319v1rpkm23.70		K00962	pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	RNA degradosome [PATH:map03018]	RNA processing
Throt9121	Locus7447v1rpkm13.90		K00962	pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	RNA degradosome [PATH:map03018]	RNA processing
Skcos2029	CAMNT_0000282751	MMETSP0013_2-20120614|14745 	K00962	pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	RNA degradosome [PATH:map03018]	RNA processing
Throt5248	Locus4349v2rpkm8.21		K10865	MRE11; double-strand break repair protein MRE11	MRN complex [PATH:map03440] [BR:ko03032 ko03400]	Repair system
Throt5248	Locus4349v2rpkm8.21		K10865	MRE11; double-strand break repair protein MRE11	MRX complex [PATH:map03440 map03450] [BR:ko03400]	Repair system
Throt5248	Locus4349v2rpkm8.21		K10865	MRE11; double-strand break repair protein MRE11	BRCA1-associated genome surveillance complex (BASC) [PATH:map03430 map03440 map03460] [BR:ko03400]	Repair system
Skcos22371	CAMNT_0000303019	MMETSP0013_2-20120614|24879 	K10865	MRE11; double-strand break repair protein MRE11	MRN complex [PATH:map03440] [BR:ko03032 ko03400]	Repair system
Skcos22371	CAMNT_0000303019	MMETSP0013_2-20120614|24879 	K10865	MRE11; double-strand break repair protein MRE11	MRX complex [PATH:map03440 map03450] [BR:ko03400]	Repair system
Skcos22371	CAMNT_0000303019	MMETSP0013_2-20120614|24879 	K10865	MRE11; double-strand break repair protein MRE11	BRCA1-associated genome surveillance complex (BASC) [PATH:map03430 map03440 map03460] [BR:ko03400]	Repair system
Throt5253	Locus4353v1rpkm23.53		K03030	PSMD14, RPN11, POH1; 26S proteasome regulatory subunit N11	Proteasome, 19S regulatory particle (PA700) [PATH:map03050] [BR:ko03051]	Proteasome
Skcos26179	CAMNT_0000320679	MMETSP0013_2-20120614|33709 	K03030	PSMD14, RPN11, POH1; 26S proteasome regulatory subunit N11	Proteasome, 19S regulatory particle (PA700) [PATH:map03050] [BR:ko03051]	Proteasome
Throt5267	Locus4362v1rpkm23.48		K02326	POLE3; DNA polymerase epsilon subunit 3 [EC:2.7.7.7]	DNA polymerase epsilon complex [PATH:map03030] [BR:ko03032 ko03400]	DNA polymerase
Throt5268	Locus4362v2rpkm6.93		K02326	POLE3; DNA polymerase epsilon subunit 3 [EC:2.7.7.7]	DNA polymerase epsilon complex [PATH:map03030] [BR:ko03032 ko03400]	DNA polymerase
Skcos424	CAMNT_0000275861	MMETSP0013_2-20120614|11300 	K02326	POLE3; DNA polymerase epsilon subunit 3 [EC:2.7.7.7]	DNA polymerase epsilon complex [PATH:map03030] [BR:ko03032 ko03400]	DNA polymerase
